"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 14:43:12 SGT 2024","Tue Oct 01 14:43:12 SGT 2024","1","Testcases","test_016_screenshots","Test_016_screenshots","","","test_016_addition",""
"passed","Tue Oct 01 14:42:55 SGT 2024","Tue Oct 01 14:43:12 SGT 2024","17125","Testcases","test_016_screenshots","Test_016_screenshots","","","test_016_ss",""
